c:\users\markus\desktop\winos\promotion\messzeiten\2015_sept_beamtime\test\i09-58244_n1shbn-xsw\singleslices\i09-58244_n1shbn-xsw_slice00_296880.vms	

Data Set	N1s	STDEV_N1s
3.070000e+002	2.778141e-002	2.659487e-001	
3.080000e+002	-1.676241e-002	3.509573e-001	
3.090000e+002	-7.524112e-002	4.449779e-001	
3.100000e+002	-1.291707e-002	4.271752e-001	
3.110000e+002	3.917982e-003	3.889491e-001	
3.120000e+002	-3.818157e-002	3.913802e-001	
3.130000e+002	8.809824e-003	3.232221e-001	
3.140000e+002	6.696463e-003	3.393008e-001	
3.150000e+002	6.419954e-002	1.897117e-001	
3.160000e+002	1.167084e-002	3.116578e-001	
3.170000e+002	-9.393919e-003	3.168386e-001	
3.180000e+002	-4.863909e-002	4.056268e-001	
3.190000e+002	-1.839717e-002	3.394572e-001	
3.200000e+002	2.131275e-002	2.753451e-001	
3.210000e+002	3.803187e-002	2.013467e-001	
3.220000e+002	-1.123648e-002	3.503598e-001	
3.230000e+002	-5.697590e-002	3.770859e-001	
3.240000e+002	-4.168255e-002	3.794666e-001	
3.250000e+002	2.062093e-002	3.124840e-001	
3.260000e+002	4.797674e-002	2.405217e-001	
3.270000e+002	4.658932e-002	2.386385e-001	
3.280000e+002	-3.961881e-002	3.974421e-001	
3.290000e+002	4.872409e-002	2.896567e-001	
3.300000e+002	1.274462e-002	2.571907e-001	
3.310000e+002	6.004627e-002	2.014529e-001	
3.320000e+002	3.310811e-002	3.552356e-001	
3.330000e+002	6.286392e-002	3.229499e-001	
3.340000e+002	4.033827e-002	2.954895e-001	
3.350000e+002	-1.358777e-002	3.982494e-001	
3.360000e+002	2.830193e-002	3.317201e-001	
3.370000e+002	-6.006581e-002	4.511999e-001	
3.380000e+002	8.046705e-003	3.321030e-001	
3.390000e+002	2.415540e-002	4.029508e-001	
3.400000e+002	6.785377e-002	2.376600e-001	
3.410000e+002	4.772069e-002	3.285151e-001	
3.420000e+002	3.713003e-002	3.094710e-001	
3.430000e+002	5.107920e-002	3.804035e-001	
3.440000e+002	4.588095e-003	3.910777e-001	
3.450000e+002	4.886156e-002	3.188821e-001	
3.460000e+002	3.800344e-002	3.972494e-001	
3.470000e+002	2.349547e-002	3.723282e-001	
3.480000e+002	-1.501802e-002	4.168491e-001	
3.490000e+002	3.813070e-002	3.514967e-001	
3.500000e+002	2.319129e-002	2.917808e-001	
3.510000e+002	4.748116e-002	2.559294e-001	
3.520000e+002	8.017507e-003	4.141438e-001	
3.530000e+002	4.441819e-003	3.518525e-001	
3.540000e+002	2.308387e-002	3.451594e-001	
3.550000e+002	-4.897590e-003	3.868683e-001	
3.560000e+002	2.080405e-002	2.760485e-001	
3.570000e+002	1.411591e-004	3.600834e-001	
3.580000e+002	4.154112e-002	1.796871e-001	
3.590000e+002	7.374452e-002	3.224388e-001	
3.600000e+002	-1.871040e-002	3.445673e-001	
3.610000e+002	4.912009e-001	6.086432e-001	
3.620000e+002	5.281637e-001	5.767944e-001	
3.630000e+002	4.168778e-001	7.842327e-001	
3.640000e+002	4.944604e-001	7.034029e-001	
3.650000e+002	3.876640e-001	7.700747e-001	
3.660000e+002	4.483837e-001	6.630522e-001	
3.670000e+002	5.438746e-001	6.625427e-001	
3.680000e+002	3.090248e-001	8.173449e-001	
3.690000e+002	4.854885e-001	7.259085e-001	
3.700000e+002	5.232900e-001	6.809819e-001	
3.710000e+002	7.114216e-001	5.457606e-001	
3.720000e+002	6.533683e-001	6.774097e-001	
3.730000e+002	4.208106e-001	9.673507e-001	
3.740000e+002	7.655064e-001	7.432035e-001	
3.750000e+002	8.241619e-001	6.907211e-001	
3.760000e+002	8.095126e-001	7.850269e-001	
3.770000e+002	8.315016e-001	7.302558e-001	
3.780000e+002	5.035525e-001	9.078491e-001	
3.790000e+002	4.302112e-001	1.058777e+000	
3.800000e+002	3.917047e-001	9.692127e-001	
3.810000e+002	4.116766e-001	9.046152e-001	
3.820000e+002	4.273439e-001	8.647946e-001	
3.830000e+002	2.510382e-001	9.864654e-001	
3.840000e+002	3.655015e-001	7.785551e-001	
3.850000e+002	3.090412e-001	7.935354e-001	
3.860000e+002	2.296660e-001	9.225186e-001	
3.870000e+002	2.767303e-001	8.790775e-001	
3.880000e+002	3.754843e-001	8.432027e-001	
3.890000e+002	4.531441e-001	7.470725e-001	
