# Torricelli ver3.3.359
"Type";"Name";"Symbol";"Color";"Component";"Slice nb";"Pc";"Fc";"Pc_err";"Fc_err";"Sr";"Sr_err";"|Si|";"Psi";"Q";"Q_err";"Delta";"Sigma";"deltaEn";"Note";"Path"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(128, 128, 128)";"C[C2H] CPSeV";0;0.04216;1.03036;0.01319;0.06763;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(0, 170, 0)";"C[C2N] CPSeV";0;0.28856;1.04493;0.01553;0.193;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(85, 0, 255)";"C[C3] CPSeV";0;0.30166;1.15611;0.00167;0.02344;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(85, 0, 255)";"1 CPSeV";1;0.26089;0.95809;0.00215;0.02365;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(128, 128, 128)";"C[C2H] CPSeV";1;0.07836;1.17374;0.01225;0.0911;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(0, 170, 0)";"C[C2N] CPSeV";1;0.20416;0.50072;0.02455;0.1114;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(85, 0, 255)";"C[C3] CPSeV";1;0.29249;1.13771;0.00177;0.02482;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(85, 0, 255)";"1 CPSeV";2;0.24852;0.87866;0.00182;0.01794;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(128, 128, 128)";"C[C2H] CPSeV";2;0.09876;1.57867;0.0101;0.12711;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(0, 170, 0)";"C[C2N] CPSeV";2;0.23272;0.82226;0.01625;0.1499;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(85, 0, 255)";"C[C3] CPSeV";2;0.29443;0.93135;0.00234;0.02558;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
"Group";"2N-DBTPTP_Cu111_1stPrep_1.8A_69357-69435/69403_C1s-XSW-Model-7";"+";"(0, 0, 0)";"";"";0.213052270378;0.809298045133;"";"";"";"";"";"";"";"";"";"";"";"";""
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(85, 0, 255)";"1 CPSeV";0;0.27279;0.9484;0.00145;0.01606;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(128, 128, 128)";"C[C2Ha] CPSeV";0;0.22615;0.77529;0.01236;0.10039;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(170, 0, 255)";"C[C2Hb] CPSeV";0;0.04761;0.81602;0.02715;0.09962;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(255, 0, 255)";"C[C2Ha] CPSeV, C[C2Hb] CPSeV";0;0.19513;0.70978;0.01199;0.07805;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(85, 0, 255)";"C[C3] CPSeV";0;0.2834;1.04746;0.00228;0.02846;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(0, 170, 0)";"C[CNH] CPSeV";0;0.29783;1.05377;0.00682;0.08915;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(85, 0, 255)";"1 CPSeV";1;0.26061;0.95666;0.00213;0.02375;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(128, 128, 128)";"C[C2Ha] CPSeV";1;0.21666;0.91787;0.00918;0.08992;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(170, 0, 255)";"C[C2Hb] CPSeV";1;0.04665;0.98255;0.02066;0.08904;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(255, 0, 255)";"C[C2Ha] CPSeV, C[C2Hb] CPSeV";1;0.18769;0.855;0.00866;0.06735;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(85, 0, 255)";"C[C3] CPSeV";1;0.2793;1.09707;0.00244;0.03449;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(0, 170, 0)";"C[CNH] CPSeV";1;0.25153;0.72119;0.00936;0.07326;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(85, 0, 255)";"1 CPSeV";2;0.2485;0.87998;0.00177;0.01766;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(128, 128, 128)";"C[C2Ha] CPSeV";2;0.20367;1.09569;0.01129;0.13154;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(170, 0, 255)";"C[C2Hb] CPSeV";2;0.03712;1.0737;0.01769;0.0813;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(255, 0, 255)";"C[C2Ha] CPSeV, C[C2Hb] CPSeV";2;0.17561;1.02149;0.01025;0.09312;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(85, 0, 255)";"C[C3] CPSeV";2;0.27199;0.89254;0.00323;0.03483;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7";"s";"(0, 170, 0)";"C[CNH] CPSeV";2;0.2518;0.83195;0.00766;0.07082;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-7"
"Group";"2N-DBTPTP_Cu111_1stPrep_1.8A_69357-69435/69403_C1s-XSW-Model-8";"+";"(0, 0, 0)";"";"";0.224555215351;0.795836407419;"";"";"";"";"";"";"";"";"";"";"";"";""
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(85, 0, 255)";"1 CPSeV";0;0.27295;0.94631;0.00145;0.01568;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(255, 0, 255)";"C4 CPSeV";0;0.00173;0.79349;0.02116;0.06405;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(255, 0, 0)";"C5 CPSeV";0;0.28508;1.24529;0.01949;0.31531;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(128, 128, 128)";"C[C2H] CPSeV";0;0.2095;0.81951;0.00939;0.07785;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(85, 0, 255)";"C[C3] CPSeV";0;0.28822;1.07568;0.00179;0.02465;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(0, 170, 0)";"C[CNH] CPSeV";0;0.28294;0.97693;0.01805;0.22334;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(85, 0, 255)";"1 CPSeV";1;0.26097;0.95946;0.00213;0.0233;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(255, 0, 255)";"C4 CPSeV";1;0.99471;0.84275;0.021;0.06409;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(255, 0, 0)";"C5 CPSeV";1;0.23787;0.4883;0.02539;0.11787;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(128, 128, 128)";"C[C2H] CPSeV";1;0.20906;1.06784;0.00672;0.0779;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(85, 0, 255)";"C[C3] CPSeV";1;0.28359;1.07241;0.00164;0.02226;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(0, 170, 0)";"C[CNH] CPSeV";1;0.25617;1.04529;0.01507;0.19289;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(85, 0, 255)";"1 CPSeV";2;0.24858;0.87784;0.00183;0.01793;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(255, 0, 255)";"C4 CPSeV";2;0.01893;1.00622;0.018;0.07665;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(255, 0, 0)";"C5 CPSeV";2;0.23099;0.75198;0.02229;0.18456;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8";"s";"(128, 128, 128)";"C[C2H] CPSeV";2;0.19866;1.20412;0.00775;0.09734;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-8"
